order_id,order_name,order_status,order_country,delivery_cost,product_code,product_name,product_price,qt,delivery
3273,YP895-4,Paid,Chile,100.53,53395-78010,"Seal, Hood To Radiator Grille",18.2,1,Express Mail Service
3431,YP4074-1,Paid,United States,456.26,45503-29836,"End Sub-Assy, Steering Rack",65.81,2,FedEx Priority
3932,YP4928-1,Paid,Malta,25.2,90910-12275,"Valve, Duty Vacuum Switching",52.4,1,International Express
3354,YP4210-1,Сanceled,Israel,30.23,B5B-82960-00-00,"Grip, Warmer",158.81,1,FedEx Priority
3623,YP2740-1,Paid,Canada,30.92,90119-12131,Bolt(For Strut Rod),2.85,2,International Express
3442,YP3998-4,Awaiting payment,Saudi Arabia,31.18,09120-35170,"Bag, Tool",12.54,1,FedEx Priority
3569,YP4481-1,Awaiting payment,East Timor,164.04,55670-60090,"Register Assy, Instrument Panel, Center",61.56,1,DHL Express
3879,YP3177-1,Paid,South Korea,129.05,13450-54051,Flywheel Sub-Assy,1242.9,1,FedEx Priority
3913,YP4830-2,Awaiting payment,United States,22.54,13222-03J01,Brkt V/Rocker,16.02,6,FedEx Priority
3961,YP2824-6,On hold,Saudi Arabia,171.4,48422-03J01,Button-Rh,6.1,1,FedEx Priority
3554,YP4461-1,Awaiting payment,Germany,23.61,91611-60814,Bolt (For Transmission Control Cable Bracket),1.53,2,FedEx Priority
3234,YP4058-1,Сanceled,Israel,23.88,16571-30010,"Hose, Radiator, Inlet",23.27,1,FedEx Priority
3961,YP2824-6,On hold,Saudi Arabia,171.4,86842-06J05,Belt Assy-Front,50.18,1,FedEx Priority
3635,YP4339-2,Сanceled,United States,25.1,75642-90A00,"Moulding, Quarter Window, Outside Front Lh",21.52,2,FedEx Priority
4091,YP5120-1,On hold,United States,28.06,61232-17030,"Rail, Roof Side, Inner Lh",42.58,1,FedEx Priority
3896,YP4883-1,Paid,Sweden,40.64,46420-48160,"Cable Assy, Parking Brake, No.2",81.31,1,FedEx Priority
4073,YP5103-1,On hold,Saudi Arabia,97.04,55445-60050-E0,"Plate, Instrument Panel Finish",5.43,1,FedEx Priority
3659,YP3998-5,Сanceled,Saudi Arabia,134.98,90467-10041-C0,New Genuine Part,1.7,1,DHL Express
3555,YP4464-1,Paid,Saudi Arabia,34.06,23070-31030,"Valve Assy, Fuel Main",34.27,1,FedEx Priority
4168,YP5211-1,On hold,New Zealand,63.39,MD192430,"Fitting,Cooling Water Outlet Hose",55.12,1,Japan Post
3305,YP3765-3,Awaiting payment,United States,30.93,2910A345,"Bracket,T/M Mounting Body Side",124.8,1,FedEx Priority
3183,YP3995-1,Paid,Guam,27.95,33309-35113,"Flange Sub-Assy, Output Shaft Companion",73.16,1,Japan Post
3764,YP4462-2,Сanceled,Puerto Rico,77.25,23704-09015,"Pipe Sub-Assy, Injection, No.4",23.17,1,DHL Express
4031,YP5047-1,Awaiting payment,Bahrain,136.16,16363-46050,"Motor, Cooling Fan",338.87,1,Japan Post
3263,YP1025-2,Completed,United States,28.23,51900-35101,"Carrier Assy, Spare Wheel",83.45,1,FedEx Priority
3567,YP4477-1,Paid,France,26.26,75710-42031,"Moulding Assy, Front Door Belt, Rh",34.43,1,FedEx Priority
3349,YP4200-1,Сanceled,Australia,51.03,16701-54220,"Shroud Sub-Assy, Fan",94.21,1,DHL Express
4129,YP2541-1,Awaiting payment,Zambia,91.64,43330-19275,"Joint Assy, Lower Ball, Front Rh",44.16,2,FedEx Priority
3270,YP4104-1,Сanceled,United States,22.82,35520-60140,"Cable Assy, Throttle",51.96,1,FedEx Priority
3682,YP4623-2,Сanceled,United States,32.96,90948-01003,Bush(For Rear Shock Absorber),3.42,4,FedEx Priority
3744,YP4708-1,Paid,Australia,43.12,11177-64010,"Gasket, Injection Nozzle Seat",4,6,DHL Express
3821,YP4789-2,Awaiting payment,Azerbaijan,79.75,35634-71010,"Plate, Clutch (For Forward Multiple Disc Clutch)",20.67,1,Japan Post
4147,YP2088-11,On hold,United States,22.73,44360-12010,"Reservoir, Oil(For Vane Pump)",130.05,1,FedEx Priority
4106,YP2729-2,On hold,Sierra Leone,60.65,31321-30030,"Pad, Clutch Pedal",8.48,1,DHL Express
3395,YP3764-3,Awaiting payment,United States,22.76,16567-82W00,Filter Assy,3.94,1,FedEx Priority
4165,YP5207-1,Awaiting payment,Canada,27.01,04493-30230,"Cylinder Kit, Brake Master",104.33,1,FedEx Priority
3591,YP4509-1,Сanceled,New Zealand,42.31,68142-10070,"Run, Rear Door Glass, Rh",49.31,1,Japan Post
4173,YP5217-1,Awaiting payment,United States,64.56,17167-74231,"Insulator, Exhaust Manifold Heat, No.1",69.88,1,Japan Post
3157,YP3634-7,Сanceled,Saudi Arabia,100.4,8355A049,"Reflector Kit,Rr Lamp,Lh",19.85,1,GULF Express
3738,YP4703-1,Сanceled,Saudi Arabia,31.18,13270-EN200,Gasket-Rocker,19.54,1,FedEx Priority
3548,YP4451-1,Сanceled,Tanzania,161.07,55401-60170-E0,"Pad Sub-Assy, Instrument Panel Safety",889.72,1,FedEx Priority
3356,YP4212-1,Paid,Barbados,57.11,69040-13061,"Lock Assy, Front Door, Lh",169.87,1,DHL Express
3762,YP2088-10,Paid,United States,22.77,90168-40047,Screw,1.54,3,Express Mail Service
3756,YP4713-2,Сanceled,Indonesia,18.23,7405A121,"Garnish,Qtr Panel",67.63,1,Japan Post
3604,YP2103-2,Awaiting payment,New Zealand,239.05,16361-17010,Fan,130.15,1,FedEx Priority
3231,YP4055-1,Сanceled,Cyprus,28.77,S47R-59-350,"Actuator(L),Power Lock",173,1,FedEx Priority
3851,YP2316-3,Сanceled,New Caledonia,47.23,90999-73043,"Bush, Bimetal Formed(For Rocker Arm)",5.77,12,DHL Express
3945,YP4940-1,Сanceled,Wallis and Futuna Islands,122.71,99332-11205,"Belt, V (Cooler Compressor To Crankshaft Pulley), No.1",25.21,1,FedEx Priority
3149,YP3958-1,Awaiting payment,South Africa,130.39,93560-54012,Screw,0.77,1,DHL Express
3500,YP4380-1,Сanceled,Oman,31.18,80682-01G01,Escutheon-Hadle,9.26,1,FedEx Priority
4171,YP5215-1,On hold,Canada,76.65,65313-89111,"Panel, Floor Front Corner, Rh",53.02,1,FedEx Priority
3392,YP4250-1,Paid,South Korea,14.73,54613-EA000,Bushing-Stabi,4.89,4,Japan Post
3119,YP2893-1,Awaiting payment,Australia,67.73,AZ28-18-110,"Plug,Spark",27.75,3,FedEx Priority
3331,YP4179-1,Сanceled,Bahrain,83.54,49151-60020,"Accumulator, Rear Suspension Control, Rh",135.61,2,FedEx Priority
3165,YP2951-3,Paid,France,23.88,12262-70050,"Hose, Ventilation, No.2",16.1,1,FedEx Priority
3857,YP4833-1,Paid,Germany,54.84,FB01-50-860B,"Mould(R),Frt Wind",113.78,1,Japan Post
4180,YP5224-1,Paid,Guam,23.99,82620-50100,"Block Assy, Fusible Link",94.32,1,Japan Post
3668,YP4629-1,Paid,United States,25.1,214-24724-00-00,"Damper, Seat",7.14,1,FedEx Priority
3527,YP2118-2,Сanceled,United States,25.02,11302-61030,"Cover Sub-Assy, Timing Chain Or Belt",52.64,1,FedEx Priority
3340,YP744-1,Paid,Bhutan,488.14,48157-BZ100,"Insulator, Front Coil Spring, Upper Rh",21.09,1,DHL Express
3538,YP4435-1,Paid,Australia,63.64,NE65-66-960,"Speaker,Loud-Door",140.83,2,Japan Post
3790,YP4747-2,Сanceled,Philippines,43.18,12305-B1050,"Insulator Sub-Assy, Engine Mounting, Rh",70.61,1,FedEx Priority
3411,YP4269-1,Awaiting payment,Australia,360.29,75435-60040,"Ornament, Back Door",93.47,1,DHL Express
3674,YP3997-3,Сanceled,Israel,892.34,51441-0D231,"Cover, Engine Under, Rh",53.04,1,DHL Express
3488,YP4368-1,Awaiting payment,Iceland,38.34,21310-V0700,Packing,10.24,1,DHL Express
4012,YP5025-1,Awaiting payment,Iceland,28.6,52204-30050,"Stopper, Rear Suspension Member, Lower Lh",26.49,1,FedEx Priority
3533,YP4426-1,Paid,United States,24.82,69241-28060,"Pad, Rear Door Outside Handle, Front",6.37,2,FedEx Priority
3805,YP3765-4,Paid,United States,30.87,2910A345,"Bracket,T/M Mounting Body Side",138.57,1,FedEx Priority
3312,YP4071-2,Paid,Sweden,30.32,1368-25-124,Nut,2.7199999999999998,4,FedEx Priority
3688,YP4650-1,Paid,Iceland,113.61,47782-12170,"Cover Sub-Assy, Disc Brake Dust, Front Lh",20.4,2,FedEx Priority
3117,YP3915-1,Paid,Australia,33.67,2910A066,"Bushing,Eng Rr Mounting",4.11,4,DHL Express
3487,YP4367-1,Awaiting payment,Dominican Republic,4357.6,52119-03901,"Cover, Front Bumper",224.79,1,DHL Express
4116,YP5152-1,Paid,Malaysia,18.15,30542-69F00,Cover-Dust,11.57,1,Japan Post
3203,YP4020-1,Awaiting payment,Bahrain,27.95,28870-46050,"Insulator Assy, Battery",49.35,1,Japan Post
3377,YP3764-2,Сanceled,United States,22.76,16567-82W00,Filter Assy,3.94,1,FedEx Priority
3735,YP4699-1,Awaiting payment,Australia,43.12,NF01-14-100,"Pump,Oil",291.44,1,DHL Express
3797,YP4004-1,Paid,Philippines,69.74,62741-60040,"Weatherstrip, Quarter Window, Rh",109.84,1,FedEx Priority
4058,YP5087-1,Paid,Indonesia,28.57,89533-60130,"Computer, 4 Wheel Drive Control",215.18,1,FedEx Priority
3293,YP4096-1,Awaiting payment,Australia,37.57,MD951919,"Sleeve,Speedometer Driven Gear",42.21,1,Japan Post
3296,YP3206-3,Paid,Cyprus,26.47,MN161264,"Cap,Radiator Condenser Tank",9.19,1,Express Mail Service
4121,YP3771-1,Awaiting payment,Singapore,43.22,55660-58010-E0,"Register Assy, Instrument Panel, No.2",102.9,1,Japan Post
3377,YP3764-2,Сanceled,United States,22.76,16565-12G00,Filter,5.44,1,FedEx Priority
3220,YP4035-1,Awaiting payment,Hungary,90.57,45100-60190-03,"Wheel Assy, Steering",190.97,1,FedEx Priority
3666,YP4626-1,Сanceled,United States,22.88,13521-43020,"Pulley, Crankshaft Timing",93.25,1,FedEx Priority
4124,YP5161-1,Paid,Azerbaijan,26.32,68174-33110,"Weatherstrip, Rear Door Glass, Inner Lh",42.59,1,FedEx Priority
3515,YP4408-1,Сanceled,United States,22.54,75552-04063,"Moulding, Roof Drip Side Finish, Lh",83.52,1,FedEx Priority
3968,YP4970-3,Paid,Australia,32.56,15301-B1020,"Gage Sub-Assy, Oil Level",18.48,1,DHL Express
3418,YP4275-1,Сanceled,Italy,45.25,81581-F4011,"Lens And Body, Rear Lamp, Rh",185.56,1,DHL Express
3207,YP2072-2,Сanceled,Philippines,23.34,35970-60070,"Housing Assy, Position Indicator",100.71,2,FedEx Priority
4121,YP3771-1,Awaiting payment,Singapore,43.22,69230-58010,"Handle Assy, Rear Door Outside, Rh",24.15,1,Japan Post
3172,YP3555-1,Сanceled,United States,60.06,24220-31G00,Clip-Harness,0.82,2,Japan Post
3449,YP4315-3,Сanceled,Portugal,23.82,75441-10064,"Plate, Rear Name, No.1",34.13,1,FedEx Priority
3961,YP2824-6,On hold,Saudi Arabia,171.4,25237-05J00,Bracket-Relay,19.94,1,FedEx Priority
3828,YP4801-1,Awaiting payment,Barbados,151.75,27280-3XA0B,Evap Assy-Fr,436.51,1,FedEx Priority
4036,YP4901-1,Awaiting payment,United States,26.95,15198-1KC1A,Hose-Oil Return,19.12,1,FedEx Priority
3152,YP3960-1,Completed,United Arab Emirates,28.77,81230-60030,"Lamp Assy, Courtesy",22.1,4,FedEx Priority
3214,YP4037-1,Paid,Qatar,83.54,69J-13716-00-00,Color,11.03,8,FedEx Priority
3880,YP4858-1,Awaiting payment,Australia,105.87,NE52-63-930F,"Glass,Back Window",1100.45,1,DHL Express
4100,YP5135-1,Awaiting payment,United Arab Emirates,9.99,15104-0C050,"Strainer Sub-Assy, Oil",19.64,1,Domestic
3307,YP4145-1,Paid,Saudi Arabia,34.06,47201-0C070,"Cylinder Sub-Assy, Brake Master",267.34,1,FedEx Priority
3650,YP2594-1,Awaiting payment,Guadeloupe,154.01,SH0113330F,PIPEAIR INTAKE,414.85,1,FedEx Priority
3446,YP4315-1,Сanceled,Portugal,23.82,16261-13010,"Hose, Water By-Pass",11.66,1,FedEx Priority
3324,YP3460-2,Сanceled,United States,33.76,53735-35150,"Seal, Front Fender Apron, Front Rh",14.27,1,Japan Post
3682,YP4623-2,Сanceled,United States,32.96,90385-11021,"Bush, Stabilizer Link",3.76,2,FedEx Priority
3622,YP4090-6,Сanceled,United States,22.88,11302-11090,"Cover, Timing Belt, No.1",47,1,FedEx Priority
3415,YP4272-1,Paid,Finland,26.19,3GM-26464-00-00,"Rod, Push",8.31,1,FedEx Priority
3332,YP4180-1,Сanceled,Puerto Rico,25.02,16480-13030,"Tank Assy, Radiator Reserve",30.98,1,FedEx Priority
3230,YP4054-1,Сanceled,United States,22.82,55054-AC010,"Stopper Sub-Assy, Glove Compartment Door",23.74,1,FedEx Priority
3318,YP4160-1,Paid,Australia,198.35,5705A805,"Moulding,Fr Door Sash,Upr Lh",52.61,1,DHL Express
3816,YP4788-1,Сanceled,Philippines,23.31,41342-0K080,"Shaft, Rear Differential Pinion",24.25,1,FedEx Priority
4003,YP2174-4,Paid,United States,55.08,90564-A0059,Shim(For Rear Differential Side Gear Thrust),3.73,1,FedEx Priority
3442,YP3998-4,Awaiting payment,Saudi Arabia,31.18,90467-10041-C0,New Genuine Part,1.53,1,FedEx Priority
3400,YP2088-3,Сanceled,United States,35.62,76621-19076,"Mudguard Sub-Assy, Front Fender, Rh",28.8,1,FedEx Priority
3762,YP2088-10,Paid,United States,22.77,75534-12130,"Moulding, Windshield, Outside Lh",94.85,1,Express Mail Service
3701,YP4666-1,Сanceled,United States,22.88,85210-89109,"Arm Assy, Windshield Wiper",53.37,1,FedEx Priority
3751,YP4714-1,Awaiting payment,South Africa,45.25,13715-74140,"Valve, Exhaust",30.09,2,DHL Express
3166,YP3634-8,Сanceled,Saudi Arabia,73.65,6410B017WB,"Bumper Kit,Rr Corner,Lh",178.76,1,GULF Express
4163,YP5205-2,On hold,United Arab Emirates,23.96,74320-14600-03,"Visor Assy, Lh",77.17,1,FedEx Priority
3961,YP2824-6,On hold,Saudi Arabia,171.4,28176-01J00,Grille-Speaker,16.28,1,FedEx Priority
4144,YP3143-2,Paid,Australia,59.27,90111-05044-00,"Bolt, Hex. Socket Button",1.28,2,DHL Express
4036,YP4901-1,Awaiting payment,United States,26.95,15066-1KC0A,Sea-O Ring,2.58,1,FedEx Priority
3326,YP4171-1,Сanceled,United States,22.82,28515-26030,"Resistor, Solenoid",155.59,1,FedEx Priority
3784,YP4744-1,Paid,Great Britain,26.21,64779-33280,"Tray, Spare Wheel Cover",99.41,1,FedEx Priority
4126,YP5162-1,Awaiting payment,New Zealand,1181.1,75850-60040-C0,"Moulding Assy, Body Rocker Panel, Rh",245.05,1,DHL Express
3604,YP2103-2,Awaiting payment,New Zealand,239.05,16400-17030,Radiator Assy,640.16,1,FedEx Priority
3535,YP4426-2,Сanceled,United States,22.82,69227-28050-B8,"Cover, Front Door Outside Handle, Lh",11.71,1,FedEx Priority
3762,YP2088-10,Paid,United States,22.77,75548-12060,"Fastener, Windshield Outside Moulding, No.1",3.23,1,Express Mail Service
3135,YP3938-1,Paid,Singapore,25.94,62220-28141-C0,"Garnish, Front Pillar, Lh",67.95,1,Express Mail Service
3480,YP4351-1,Сanceled,Australia,43.65,84921-08030-C0,"Knob, Power Seat Switch (For Reclining)",8.37,1,International Standard Parcel
3477,YP830-4,Paid,Australia,27.87,82711-22140,Clip,3.39,3,Japan Post
4043,YP5059-1,On hold,United States,55.08,63201-14060,"Panel Sub-Assy, Sliding Roof Or Removable Roof",1001.16,1,FedEx Priority
3199,YP4013-1,Paid,Ecuador,31.44,76811-48240,"Garnish, Back Door, Outside",136.68,1,Japan Post
4062,YP5091-1,Paid,Japan,61.23,45221-28140,"Shaft, Steering Intermediate",115.35,1,DHL Express
4107,YP5141-1,Paid,United States,24.89,90159-60477,"Screw, No.2",1.02,1,FedEx Priority
4032,YP5048-1,Paid,Netherlands,75.31,90189-06228,Grommet(For Rear Bumper),1.02,2,FedEx Priority
3340,YP744-1,Paid,Bhutan,488.14,48820-BZ070,"Link Assy, Front Stabilizer",51.27,2,DHL Express
3920,YP4911-1,Awaiting payment,Latvia,23.77,75756-48020,"Moulding, Front Door Window Frame, Rear Lh",57.11,1,FedEx Priority
3917,YP4906-1,On hold,Saudi Arabia,92.89,46110-35180,"Handle Assy, Parking Brake Control",76.9,1,FedEx Priority
3510,YP4406-1,Paid,Denmark,23.9,90301-17013,Gasket,3.6,1,FedEx Priority
3964,YP2824-8,On hold,Saudi Arabia,91.64,26598-32J00,Cover-Stop Lamp,18.99,1,FedEx Priority
3511,YP4407-1,Сanceled,Ireland,30.25,85916-20010,"Relay, Light Control",25.92,1,FedEx Priority
3775,YP1788-9,Awaiting payment,Israel,452.08,74617-60040-A0,"Plug, Assist Grip",1.8399999999999999,1,DHL Express
3576,YP4489-1,Awaiting payment,New Zealand,27.95,33584-60010,"Gasket, Control Shift Lever Retainer (For Floor Shift)",4.48,1,Japan Post
3845,YP4662-3,Paid,Canada,62.9,48725-08020,"Bush, Rear Axle Carrier, Rh",39.09,2,Express Mail Service
3101,YP3879-1,Paid,France,23.88,96980-CN00B,K Console,25.62,1,FedEx Priority
3410,YP4266-1,Awaiting payment,Indonesia,74.76,16041-20281,Radiator Assy,639.42,1,FedEx Priority
3340,YP744-1,Paid,Bhutan,488.14,48157-BZ040,"Insulator, Front Coil Spring, Upper Rh",21.11,1,DHL Express
3609,YP4540-1,Awaiting payment,Ivory Coast,924.55,90987-02025,"Relay, Heater, No.1",45.59,4,DHL Express
4038,YP1769-3,Сanceled,Jamaica,131.6,52203-37030,"Cushion Sub-Assy, Cab Mounting, No.2 Upper",55.4,1,FedEx Priority
4033,YP5047-2,Awaiting payment,Bahrain,121.94,16363-46190,"Motor, Cooling Fan",301.86,1,International Standard Parcel
3777,YP2081-6,Awaiting payment,United States,24.89,13265-60012,"Bolt, Connecting Rod",18.29,12,FedEx Priority
3768,YP1788-8,Сanceled,Israel,172.42,13011-31210,"Ring Set, Piston",171.42,1,DHL Express
3992,YP4997-1,Paid,United States,24.89,86212-35040,"Bracket, Radio, No.2",11.53,1,FedEx Priority
3716,YP2573-3,Paid,Australia,63.82,81732-20190,"Gasket, Side Turn Signal Lamp Lens, Rh",2.46,2,Express Mail Service
3868,YP4843-1,Сanceled,United States,22.54,47748-60010,"Spring, Anti-Rattle, No.1(For Front Disc Brake)",3.57,2,FedEx Priority
3985,YP4989-1,Сanceled,Puerto Rico,75.08,48770-42020,"Arm Assy, Upper Control, Rear Rh",98.26,2,FedEx Priority
3778,YP4740-1,Сanceled,Kuwait,0,16267-31010,"Hose, Water By-Pass, No.3",9.13,1,
3584,YP4500-2,Сanceled,United States,35.72,82121-35261,"Wire, Engine",544.3,1,FedEx Priority
4079,YP5108-1,Awaiting payment,Australia,42.07,32142-05U00,Cover Upr Ext,6.51,1,Japan Post
3462,YP4177-2,Сanceled,United States,22.76,90982-08250,Fusible Link,11.14,2,FedEx Priority
4078,YP5107-1,Awaiting payment,Poland,201.78,51021-KK010,"Crossmember Sub-Assy, Frame Auxiliary",108.23,1,FedEx Priority
4057,YP5085-1,On hold,United States,24.89,83320-80156,"Gage Assy, Fuel Sender",103.96,1,FedEx Priority
4143,YP5180-1,Paid,Spain,111.44,44250-60060,"Gear Assy, Power Steering(For Rack & Pinion)",1383.53,1,FedEx Priority
3353,YP4209-1,Awaiting payment,Great Britain,48.85,MB369551,"Bumper,Rr Corner,Lh",135.95,1,Japan Post
3377,YP3764-2,Сanceled,United States,22.76,11810-12G00,Valve Control,20.12,1,FedEx Priority
3961,YP2824-6,On hold,Saudi Arabia,171.4,96920-02J00,Lid Assy-Floor,70.26,1,FedEx Priority
3511,YP4407-1,Сanceled,Ireland,30.25,90980-07031,"Cable, Bond, No.1",9.6,1,FedEx Priority
3105,YP3888-1,Сanceled,Moldova,0,90915-10009,"Filter Sub-Assy, Oil",19.23,1,International Economy Parcel
3312,YP4071-2,Paid,Sweden,30.32,9YB04-1208,Nut,4.59,8,FedEx Priority
4171,YP5215-1,On hold,Canada,76.65,65315-89107,"Panel, Floor Rear Corner, Rh",53.16,1,FedEx Priority
3325,YP3460-3,Paid,United States,33.76,53735-35150,"Seal, Front Fender Apron, Front Rh",14.27,1,Japan Post
3778,YP4740-1,Сanceled,Kuwait,0,16572-31170,"Hose, Radiator, No.2",20.29,1,
3510,YP4406-1,Paid,Denmark,23.9,90177-22001,Nut (For Front Axle Shaft Rh),3.43,2,FedEx Priority
3838,YP4325-3,Сanceled,Bahrain,33.67,MN139223,"Hose,A/T Breather",5.57,1,Express Mail Service
3949,YP4940-3,Paid,Wallis and Futuna Islands,57.83,90311-85008,"Seal, Engine Rear Oil",21.5,1,FedEx Priority
4121,YP3771-1,Awaiting payment,Singapore,43.22,71834-58010-A0,"Cover, Rear Seat Reclining, No.1 Lh",27.3,1,Japan Post
3757,YP4723-1,Awaiting payment,United States,24.89,90363-40022,"Bearing, Ball(For Clutch Release Hub)",35.51,1,FedEx Priority
3232,YP3912-2,Сanceled,Sweden,23.88,89543-20110,"Sensor, Speed, Front Lh",261.65,1,FedEx Priority
3471,YP4250-2,Сanceled,South Korea,14.73,54613-EA000,Bushing-Stabi,4.9399999999999995,2,Japan Post
3173,YP3555-2,Paid,United States,60.06,32137-E9000,Gutter-Oil Case,1.6400000000000001,1,Japan Post
3793,YP4750-1,Paid,United States,28.17,67914-68020-B0,"Plate, Front Door Scuff, Lh",35.56,1,FedEx Priority
3227,YP4051-1,Paid,Malta,68.42,N3A1-11-B11,"Metal,Rotor",48.13,4,DHL Express
3734,YP4697-1,Awaiting payment,Great Britain,23.85,17270-JG70B,"",15.62,1,FedEx Priority
3350,YP4201-1,Awaiting payment,Canada,30.93,45047-39156,"End Sub-Assy, Tie Rod, Lh",57.43,1,FedEx Priority
3716,YP2573-3,Paid,Australia,63.82,81554-35130,"Gasket, Rear Combination Lamp Body, Rh",8.15,2,Express Mail Service
3702,YP4667-1,Сanceled,United States,22.88,82122-50060,"Wire, Engine, No.2",194.69,1,FedEx Priority
3516,YP4410-1,Paid,United Arab Emirates,43.79,81056-53010,"Computer Sub-Assy, Headlamp, Lh No.1",243.64,1,FedEx Priority
3406,YP4263-2,Сanceled,United States,49.84,62470-30370-B0,"Garnish, Roof Side, Inner Rh",207.36,1,Japan Post
4109,YP5143-1,On hold,United States,24.89,52153-60060,"Stay Sub-Assy, Rear Bumper, Rh",23.14,1,FedEx Priority
4171,YP5215-1,On hold,Canada,76.65,68182-89104,"Weatherstrip, Vent Window, No.1 Lh",35.59,1,FedEx Priority
3530,YP1788-7,Сanceled,Israel,147.6,11116-31070,"Gasket, Cylinder Head, No.2",60.3,1,FedEx Priority
3185,YP3997-1,Сanceled,Israel,97.39,51441-0D231,"Cover, Engine Under, Rh",53.04,1,DHL Express
4099,YP5134-1,Paid,Great Britain,33.58,52201-25040,"Cushion Sub-Assy, Cab Front Mounting",22.89,1,Japan Post
3686,YP4648-1,Awaiting payment,Finland,63.06,47787-60020,"Reinforcement, Dust Cover, Lh",10.59,1,FedEx Priority
4110,YP5144-1,Awaiting payment,Australia,27.79,23796-AU00B,Valve-Solenoid,130.53,1,Japan Post
4119,YP2992-15,On hold,Saudi Arabia,42.07,49790-37J00,Tube A-P/Strg,122.63,1,Japan Post
3110,YP3902-1,Сanceled,Great Britain,23.88,B61P-13-74XA,"Pipe,Ventilation",26.38,1,FedEx Priority
3899,YP4885-1,Awaiting payment,Puerto Rico,26.8,52057-04030,"Pad Sub-Assy, Rear Bumper",151.5,1,FedEx Priority
3339,YP4187-1,Paid,Saudi Arabia,48.95,27723-4BU0A,Sensor Assy-Eva,18.29,1,GULF Express
3846,YP4822-1,Paid,United States,24.74,96136-44301,"Clip, Radiator Hose, No.1",4.76,4,FedEx Priority
3236,YP4060-1,Paid,Switzerland,33.87,4117A005,"Link,Rr Susp Assist",44.53,1,FedEx Priority
3962,YP2824-7,Awaiting payment,Saudi Arabia,27.79,90880-P9710,Emblem-Back Doo,44.89,1,Japan Post
3975,YP2824-9,On hold,Saudi Arabia,31.06,26510-C6000,Lamp Licence,99.42,1,FedEx Priority
4170,YP5213-1,On hold,Ireland,47.62,64303-10160-B0,"Panel Assy, Package Tray Trim",177.21,1,FedEx Priority
3184,YP3996-1,Сanceled,United States,21.25,55878-17010,"Cover, Cowl Vent, Lh",3.25,1,FedEx Priority
3100,YP3877-1,Paid,Switzerland,149.53,86520-12620,"Horn Assy, Low Pitched",45.47,1,Japan Post
4175,YP5217-2,Awaiting payment,United States,28.12,17169-74030,"Insulator, Exhaust Manifold Heat, No.3",44.3,1,FedEx Priority
3464,YP2088-5,Сanceled,United States,27.03,76622-19076,"Mudguard Sub-Assy, Front Fender, Lh",28.8,1,FedEx Priority
3455,YP4325-1,Сanceled,Bahrain,53.59,MU000230,"Socket,Backup Lamp",7.54,2,FedEx Priority
